label,message
ham,Hi how are you doing today
ham,Ok no problem see you soon
ham,See you tomorrow morning
ham,Good morning have a nice day
ham,Meeting at 2pm in conference room
ham,Can you help me with the report
ham,Let me know when you are free
ham,Thanks for calling me back
ham,See you soon take care
ham,Have a nice day bye
ham,Are you coming to the party
ham,I will call you later tonight
ham,Please send me the document
ham,What time is the meeting tomorrow
ham,Happy birthday hope you have great day
ham,Can we reschedule our appointment
ham,I got your message thanks
ham,Let us meet for lunch tomorrow
ham,Did you finish the project
ham,I will be there in 10 minutes
ham,Thanks for your help yesterday
ham,How was your weekend
ham,Please review the attached file
ham,I am running a bit late
ham,See you at the office
ham,Can you please call me
ham,I will send you the details
ham,Great work on the presentation
ham,Are you available for a quick call
ham,Looking forward to meeting you
ham,Please confirm your attendance
ham,I need your feedback on this
ham,Thanks for the information
ham,We should catch up sometime
ham,I appreciate your help
ham,Can you forward that email to me
ham,I will check and get back to you
ham,Good luck with your interview
ham,Please find the attachment
ham,I hope you are doing well
spam,WINNER FREE PRIZE click here now
spam,Click here to claim your reward immediately
spam,Congratulations you have been selected
spam,Claim your reward before it expires
spam,Limited time offer act now
spam,You won jackpot call now
spam,Call now to claim free money
spam,Free money act now urgent
spam,Hurry up limited offer expires soon
spam,You have won one million dollars
spam,URGENT your account needs verification
spam,Congratulations you won a free iPhone
spam,Get rich quick guaranteed income
spam,Make money fast from home
spam,You are selected for cash prize
spam,Claim your free gift card now
spam,Winner announcement click to claim
spam,Special offer for you only today
spam,Your loan has been approved click
spam,Earn 5000 per week working from home
spam,Buy now discount offer expires midnight
spam,Free trial no credit card needed click
spam,You have pending reward waiting
spam,Hot singles in your area click
spam,Congratulations lucky winner claim prize
spam,Alert your bank account compromised click
spam,Investment opportunity guaranteed returns
spam,Double your money in 24 hours
spam,Exclusive deal only for you today
spam,You have been chosen claim now
spam,Weight loss miracle pill free trial
spam,Casino bonus free chips claim now
spam,Debt relief program call now free
spam,Work from home earn thousands daily
spam,Cheap medication no prescription needed
spam,Nigerian prince needs your bank help
spam,Lottery winner notification claim prize
spam,Final notice your package waiting
spam,Password reset required click immediately
spam,Your PayPal account suspended verify now
